date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2009-04-21,0,-2,29,9,15,319,NW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,83.0,10.0,6.0,1013.0,30.0,91.0,-1.0,29.0,-4.0,25.0,-6.0,21.0,14.0,22.0,-6.0,21.0
2009-04-21,1200,3,38,11,18,343,NNW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,47.0,10.0,6.0,1019.0,31.0,65.0,3.0,38.0,-7.0,20.0,-1.0,31.0,13.0,22.0,-1.0,31.0
2009-04-22,0,-4,25,7,12,324,NW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,73.0,10.0,6.0,1024.0,31.0,19.0,-3.0,26.0,-7.0,19.0,-8.0,18.0,11.0,17.0,-8.0,18.0
2009-04-22,1200,5,41,11,17,333,NNW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,34.0,10.0,6.0,1022.0,31.0,2.0,6.0,42.0,-9.0,16.0,2.0,36.0,12.0,19.0,2.0,36.0
2009-04-23,0,-3,26,5,8,319,NW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,79.0,10.0,6.0,1021.0,31.0,31.0,-2.0,28.0,-5.0,22.0,-6.0,22.0,10.0,16.0,-6.0,22.0
2009-04-23,1200,9,48,8,13,310,NW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,36.0,10.0,6.0,1017.0,31.0,44.0,9.0,49.0,-5.0,23.0,7.0,45.0,9.0,15.0,7.0,45.0
2009-04-24,0,-2,29,4,6,317,NW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,76.0,10.0,6.0,1018.0,31.0,27.0,-1.0,31.0,-4.0,24.0,-3.0,27.0,8.0,13.0,-3.0,27.0
2009-04-24,1200,11,52,7,11,338,NNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,46.0,10.0,6.0,1021.0,31.0,45.0,11.0,53.0,0.0,32.0,10.0,50.0,8.0,13.0,10.0,50.0
2009-04-25,0,-1,30,2,3,43,NE,260,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0007_fog.png,Freezing fog,0.0,0.0,97.0,0.0,0.0,1023.0,31.0,16.0,1.0,33.0,0.0,32.0,1.0,33.0,4.0,6.0,1.0,33.0
2009-04-25,1200,14,57,9,15,288,WNW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,36.0,10.0,6.0,1021.0,31.0,53.0,14.0,57.0,-1.0,31.0,13.0,55.0,11.0,18.0,13.0,55.0
2009-04-26,0,5,41,4,7,294,WNW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,80.0,10.0,6.0,1020.0,31.0,12.0,7.0,44.0,3.0,38.0,5.0,41.0,9.0,15.0,5.0,41.0
